# field = c-trace, acq = alc, seed = 0
#   M     r     mean_error        max_std   next_lambda     next_beta       next_std
   10     9   1.497239e-02   8.296018e+00      5.098268      0.639904   1.215155e+00
   11    10   1.046926e-02   6.878411e+00     18.837004      0.676511   4.655614e+00
   12    11   1.012991e-02   5.036284e+00      6.776466      0.306303   1.117578e+00
   13    12   8.715100e-03   3.164882e+00      5.470971      0.297521   1.290038e-01
   14    13   9.070827e-03   3.939534e+00     15.928692      0.308018   1.656149e+00
   15    14   9.186926e-03   4.051620e+00      1.548528      0.511032   3.940369e+00
   16    15   7.018919e-03   4.118194e+00     11.147502      0.666541   9.988626e-01
   17    16   6.526330e-03   4.992059e+00     12.933106      0.552277   8.215067e-01
   18    17   4.832618e-03   3.520497e+00      6.935381      0.848986   1.846794e+00
   19    18   4.589940e-03   3.494243e+00     12.625127      0.542165   4.638303e-02
   20    19   4.741051e-03   2.665629e+00     15.355809      0.578114   8.151377e-02
   21    20   4.580515e-03   2.598138e+00     18.610901      0.762912   7.184764e-01
   22    20   4.414839e-03   1.553154e+00      3.888741      0.582527   3.618385e-01
   23    21   3.175884e-03   1.135318e+00      3.518859      0.735589   3.122341e-01
   24    22   2.987979e-03   1.050783e+00     12.027685      0.456837   2.560415e-01
   25    23   2.456799e-03   9.769199e-01     18.251001      0.316091   3.338904e-01
   26    23   2.204629e-03   1.298669e+00     16.266686      0.694481   1.194185e-01
   27    24   2.107355e-03   1.116281e+00      2.621664      0.362142   7.078309e-01
   28    25   1.955928e-03   9.908994e-01      2.697476      0.809867   4.198377e-01
   29    26   1.599061e-03   5.261698e-01     18.800365      0.408639   1.928471e-01
   30    26   1.810766e-03   6.058355e-01      8.260687      0.768429   3.158423e-01
   31    26   1.836551e-03   6.295027e-01     15.283808      0.541294   3.707466e-03
   32    27   1.480262e-03   6.337607e-01      2.076067      0.329398   2.862955e-01
   33    27   1.236808e-03   4.823571e-01     13.576263      0.840895   4.052815e-01
   34    28   1.143943e-03   4.701600e-01     18.383556      0.319929   2.598515e-02
   35    28   1.183991e-03   5.036181e-01      7.193506      0.535536   9.420016e-02
   36    28   1.021446e-03   5.215577e-01     16.127342      0.672712   4.329510e-03
   37    28   7.618249e-04   4.279748e-01     10.927729      0.742258   8.689597e-02
   38    29   7.291760e-04   4.119980e-01      5.131042      0.333145   7.142620e-02
   39    30   5.283413e-04   3.794571e-01     14.459457      0.253536   2.008830e-01
   40    31   5.203927e-04   4.019425e-01     13.769059      0.698209   1.378294e-02
   41    31   5.022184e-04   2.302050e-01     11.422895      0.333867   6.695562e-02
   42    31   5.211601e-04   2.688909e-01      2.757133      0.264891   1.009910e-01
   43    32   5.049595e-04   2.192405e-01      1.880887      0.609615   1.044187e-01
   44    31   4.240626e-04   2.359320e-01     18.355849      0.807070   5.604147e-02
   45    32   4.317701e-04   1.970292e-01      1.805123      0.805237   1.422494e-01
   46    32   4.037217e-04   2.083748e-01     15.818118      0.629503   5.882431e-04
   47    32   3.653647e-04   1.878173e-01     18.134661      0.304865   4.894949e-03
   48    32   3.408160e-04   1.849466e-01      3.541411      0.764097   2.237122e-02
   49    32   3.345548e-04   1.827139e-01      8.032904      0.721549   2.999059e-02
   50    32   3.085212e-04   1.522469e-01     16.032395      0.303760   3.435381e-03
   51    32   3.511573e-04   1.976569e-01     18.050182      0.791661   1.318015e-02
   52    32   3.273715e-04   7.302344e-02     11.312345      0.776663   1.840174e-02
   53    32   3.199895e-04   7.010433e-02     18.603319      0.379620   1.512633e-03
   54    32   3.511662e-04   7.362037e-02     16.561303      0.548879   6.057882e-03
   55    32   3.084828e-04   8.024492e-02      2.735092      0.753428   3.018226e-03
   56    32   3.013071e-04   7.596687e-02      6.801254      0.436797   1.186854e-02
   57    32   2.399344e-04   9.038368e-02     16.061953      0.833933   4.586269e-02
   58    32   2.550838e-04   5.185005e-02      4.955526      0.278970   1.112478e-02
   59    33   2.314472e-04   4.851311e-02     12.034875      0.353828   8.548917e-03
   60    33   1.896596e-04   5.730156e-02           nan           nan            nan
