param1 param2 velocity_relative_error second_field_relative_error
8.000000000000000000e+00 2.777777777777777901e-01 6.188639357872815641e-06 2.089849347309033801e-05
9.000000000000000000e+00 2.777777777777777901e-01 4.964181961541554690e-06 1.455997206706170374e-05
1.000000000000000000e+01 2.777777777777777901e-01 1.336923787757633722e-05 3.262167032630421430e-05
1.000000000000000000e+00 3.666666666666666963e-01 5.455820736997199365e-06 1.276802676396691591e-04
2.000000000000000000e+00 3.666666666666666963e-01 8.244948927519272450e-06 6.351448643966391486e-05
3.000000000000000000e+00 3.666666666666666963e-01 9.090335901916085320e-06 5.022776398617639720e-05
4.000000000000000000e+00 3.666666666666666963e-01 5.798700972077035730e-06 2.933669688191050014e-05
5.000000000000000000e+00 3.666666666666666963e-01 5.663506220631460708e-06 3.514668736272238254e-05
6.000000000000000000e+00 3.666666666666666963e-01 6.562868025108674154e-06 4.407963486696213861e-05
7.000000000000000000e+00 3.666666666666666963e-01 6.927146892471336125e-06 4.037177337598577351e-05
8.000000000000000000e+00 3.666666666666666963e-01 6.478228070722398450e-06 2.861775409417136447e-05
9.000000000000000000e+00 3.666666666666666963e-01 4.068780790622614846e-06 2.057592895354948902e-05
1.000000000000000000e+01 3.666666666666666963e-01 5.144065941202518402e-06 4.086381256089489011e-05
1.000000000000000000e+00 4.555555555555556024e-01 5.363072835179531367e-06 1.267737324191000334e-04
2.000000000000000000e+00 4.555555555555556024e-01 3.709283073669037559e-06 7.204455712334332542e-05
3.000000000000000000e+00 4.555555555555556024e-01 6.525298955114268701e-06 4.888719645041506620e-05
4.000000000000000000e+00 4.555555555555556024e-01 3.709748201947305629e-06 3.451023256378199354e-05
5.000000000000000000e+00 4.555555555555556024e-01 5.636923608765895091e-06 3.153238317962910145e-05
6.000000000000000000e+00 4.555555555555556024e-01 4.896553654546155478e-06 3.046361622519378663e-05
7.000000000000000000e+00 4.555555555555556024e-01 3.527745215684392378e-06 2.962426996900791983e-05
8.000000000000000000e+00 4.555555555555556024e-01 3.939831073958780644e-06 2.898489186788241555e-05
9.000000000000000000e+00 4.555555555555556024e-01 4.067066405031078900e-06 2.402458651711941346e-05
1.000000000000000000e+01 4.555555555555556024e-01 5.577986565307450164e-06 2.533253370230047709e-05
1.000000000000000000e+00 5.444444444444445086e-01 5.512906160972245259e-06 1.174474987409529172e-04
2.000000000000000000e+00 5.444444444444445086e-01 5.467476056677920411e-06 8.775676353794495160e-05
3.000000000000000000e+00 5.444444444444445086e-01 6.637753084412979238e-06 2.859822506065486903e-05
4.000000000000000000e+00 5.444444444444445086e-01 5.592455688880120185e-06 2.771611582389656910e-05
5.000000000000000000e+00 5.444444444444445086e-01 6.160858832131453919e-06 2.730677044078316109e-05
6.000000000000000000e+00 5.444444444444445086e-01 4.918688017572980586e-06 2.105560552229963025e-05
7.000000000000000000e+00 5.444444444444445086e-01 4.140674440444337012e-06 1.797424580022470504e-05
8.000000000000000000e+00 5.444444444444445086e-01 4.258708684464359701e-06 2.069163707847659437e-05
9.000000000000000000e+00 5.444444444444445086e-01 3.605527274900817082e-06 2.043587879284573065e-05
1.000000000000000000e+01 5.444444444444445086e-01 4.718691879450673306e-06 2.654658175001127162e-05
1.000000000000000000e+00 6.333333333333333037e-01 2.823938421788568731e-06 1.029505886393052900e-04
2.000000000000000000e+00 6.333333333333333037e-01 6.039941353769200734e-06 8.601940728697173109e-05
3.000000000000000000e+00 6.333333333333333037e-01 3.571480864392594332e-06 4.089966508776145807e-05
4.000000000000000000e+00 6.333333333333333037e-01 4.055284022697788083e-06 4.287713351989336648e-05
5.000000000000000000e+00 6.333333333333333037e-01 4.948836757339334300e-06 3.154111892290172004e-05
6.000000000000000000e+00 6.333333333333333037e-01 4.385986400231869154e-06 1.593968357665167133e-05
7.000000000000000000e+00 6.333333333333333037e-01 3.591788757917539806e-06 1.117886020287792601e-05
8.000000000000000000e+00 6.333333333333333037e-01 2.629599444563902321e-06 2.113034969247426666e-05
9.000000000000000000e+00 6.333333333333333037e-01 1.989816584939597140e-06 2.471526551297514813e-05
1.000000000000000000e+01 6.333333333333333037e-01 5.110088125552194769e-06 2.827739157170910264e-05
1.000000000000000000e+00 7.222222222222222099e-01 4.151664672924844948e-06 8.073796045115781066e-05
2.000000000000000000e+00 7.222222222222222099e-01 4.353771895821807400e-06 6.314428874031913382e-05
3.000000000000000000e+00 7.222222222222222099e-01 4.880140644810714427e-06 4.552520884222439304e-05
4.000000000000000000e+00 7.222222222222222099e-01 3.639142546462284733e-06 4.143080317103860308e-05
5.000000000000000000e+00 7.222222222222222099e-01 2.095214131796367654e-06 3.392937785118415868e-05
6.000000000000000000e+00 7.222222222222222099e-01 2.030278563691084568e-06 2.504898320100420865e-05
7.000000000000000000e+00 7.222222222222222099e-01 2.741359198261816753e-06 1.443841493509221582e-05
8.000000000000000000e+00 7.222222222222222099e-01 2.918552140763264697e-06 1.245482394539216746e-05
9.000000000000000000e+00 7.222222222222222099e-01 3.025057210116990974e-06 1.071775040872088412e-05
1.000000000000000000e+01 7.222222222222222099e-01 5.074031545749430625e-06 1.783862835929116825e-05
