param1 param2 velocity_relative_error second_field_relative_error
3.000000000000000000e+00 1.000000000000000056e-01 1.227479381862186026e-05 1.021362307740193189e-04
4.000000000000000000e+00 1.000000000000000056e-01 1.371286344901466670e-05 1.255247458917010917e-04
5.000000000000000000e+00 1.000000000000000056e-01 1.150557888707792425e-05 1.228047581858155205e-04
6.000000000000000000e+00 1.000000000000000056e-01 1.056658693061227819e-05 7.347918927045676222e-05
7.000000000000000000e+00 1.000000000000000056e-01 6.314741084673593031e-06 8.365781000691351467e-05
8.000000000000000000e+00 1.000000000000000056e-01 5.581928065665342187e-06 2.200527083874716133e-05
9.000000000000000000e+00 1.000000000000000056e-01 8.954194493400029095e-06 7.522109880577409948e-05
1.000000000000000000e+01 1.000000000000000056e-01 6.596000332892939562e-06 4.045217717912115185e-05
1.000000000000000000e+00 1.888888888888889117e-01 9.171161914562909380e-06 2.150662185881677796e-04
2.000000000000000000e+00 1.888888888888889117e-01 8.775108874465369917e-06 1.311653477036843214e-04
3.000000000000000000e+00 1.888888888888889117e-01 1.374767843479635244e-05 8.773164032478595567e-05
4.000000000000000000e+00 1.888888888888889117e-01 5.354151716317754346e-06 6.341008981111387257e-05
5.000000000000000000e+00 1.888888888888889117e-01 8.905208247471982686e-06 4.168288410039829673e-05
6.000000000000000000e+00 1.888888888888889117e-01 7.973746555387218563e-06 2.547920941845366915e-05
7.000000000000000000e+00 1.888888888888889117e-01 4.387453533762553932e-06 3.304084948023107356e-05
8.000000000000000000e+00 1.888888888888889117e-01 6.769784345847012016e-06 3.360230845458371464e-05
9.000000000000000000e+00 1.888888888888889117e-01 5.970760491768201720e-06 1.502434864020386699e-05
1.000000000000000000e+01 1.888888888888889117e-01 7.458977406542577607e-06 3.353755692723480586e-05
1.000000000000000000e+00 2.777777777777777901e-01 8.976449304502196792e-06 1.178785750308153346e-04
2.000000000000000000e+00 2.777777777777777901e-01 1.066544814982685964e-05 8.988241735589731004e-05
3.000000000000000000e+00 2.777777777777777901e-01 5.854709069343036278e-06 7.446683057318371785e-05
4.000000000000000000e+00 2.777777777777777901e-01 6.287099751272448955e-06 5.521342976241019006e-05
5.000000000000000000e+00 2.777777777777777901e-01 5.803280308922889110e-06 3.216598266565642779e-05
6.000000000000000000e+00 2.777777777777777901e-01 4.170264940741623080e-06 2.384073794092770972e-05
7.000000000000000000e+00 2.777777777777777901e-01 5.715380247718780697e-06 2.516391159118649460e-05
8.000000000000000000e+00 2.777777777777777901e-01 6.188639357872815641e-06 2.089849347309033801e-05
9.000000000000000000e+00 2.777777777777777901e-01 4.964181961541554690e-06 1.455997206706170374e-05
1.000000000000000000e+01 2.777777777777777901e-01 1.336923787757633722e-05 3.262167032630421430e-05
1.000000000000000000e+00 3.666666666666666963e-01 5.455820736997199365e-06 1.276802676396691591e-04
2.000000000000000000e+00 3.666666666666666963e-01 8.244948927519272450e-06 6.351448643966391486e-05
3.000000000000000000e+00 3.666666666666666963e-01 9.090335901916085320e-06 5.022776398617639720e-05
4.000000000000000000e+00 3.666666666666666963e-01 5.798700972077035730e-06 2.933669688191050014e-05
5.000000000000000000e+00 3.666666666666666963e-01 5.663506220631460708e-06 3.514668736272238254e-05
6.000000000000000000e+00 3.666666666666666963e-01 6.562868025108674154e-06 4.407963486696213861e-05
7.000000000000000000e+00 3.666666666666666963e-01 6.927146892471336125e-06 4.037177337598577351e-05
8.000000000000000000e+00 3.666666666666666963e-01 6.478228070722398450e-06 2.861775409417136447e-05
9.000000000000000000e+00 3.666666666666666963e-01 4.068780790622614846e-06 2.057592895354948902e-05
1.000000000000000000e+01 3.666666666666666963e-01 5.144065941202518402e-06 4.086381256089489011e-05
1.000000000000000000e+00 4.555555555555556024e-01 5.363072835179531367e-06 1.267737324191000334e-04
2.000000000000000000e+00 4.555555555555556024e-01 3.709283073669037559e-06 7.204455712334332542e-05
3.000000000000000000e+00 4.555555555555556024e-01 6.525298955114268701e-06 4.888719645041506620e-05
4.000000000000000000e+00 4.555555555555556024e-01 3.709748201947305629e-06 3.451023256378199354e-05
5.000000000000000000e+00 4.555555555555556024e-01 5.636923608765895091e-06 3.153238317962910145e-05
6.000000000000000000e+00 4.555555555555556024e-01 4.896553654546155478e-06 3.046361622519378663e-05
7.000000000000000000e+00 4.555555555555556024e-01 3.527745215684392378e-06 2.962426996900791983e-05
8.000000000000000000e+00 4.555555555555556024e-01 3.939831073958780644e-06 2.898489186788241555e-05
9.000000000000000000e+00 4.555555555555556024e-01 4.067066405031078900e-06 2.402458651711941346e-05
1.000000000000000000e+01 4.555555555555556024e-01 5.577986565307450164e-06 2.533253370230047709e-05
1.000000000000000000e+00 5.444444444444445086e-01 5.512906160972245259e-06 1.174474987409529172e-04
2.000000000000000000e+00 5.444444444444445086e-01 5.467476056677920411e-06 8.775676353794495160e-05
3.000000000000000000e+00 5.444444444444445086e-01 6.637753084412979238e-06 2.859822506065486903e-05
4.000000000000000000e+00 5.444444444444445086e-01 5.592455688880120185e-06 2.771611582389656910e-05
5.000000000000000000e+00 5.444444444444445086e-01 6.160858832131453919e-06 2.730677044078316109e-05
6.000000000000000000e+00 5.444444444444445086e-01 4.918688017572980586e-06 2.105560552229963025e-05
7.000000000000000000e+00 5.444444444444445086e-01 4.140674440444337012e-06 1.797424580022470504e-05
8.000000000000000000e+00 5.444444444444445086e-01 4.258708684464359701e-06 2.069163707847659437e-05
9.000000000000000000e+00 5.444444444444445086e-01 3.605527274900817082e-06 2.043587879284573065e-05
1.000000000000000000e+01 5.444444444444445086e-01 4.718691879450673306e-06 2.654658175001127162e-05
1.000000000000000000e+00 6.333333333333333037e-01 2.823938421788568731e-06 1.029505886393052900e-04
2.000000000000000000e+00 6.333333333333333037e-01 6.039941353769200734e-06 8.601940728697173109e-05
3.000000000000000000e+00 6.333333333333333037e-01 3.571480864392594332e-06 4.089966508776145807e-05
4.000000000000000000e+00 6.333333333333333037e-01 4.055284022697788083e-06 4.287713351989336648e-05
5.000000000000000000e+00 6.333333333333333037e-01 4.948836757339334300e-06 3.154111892290172004e-05
6.000000000000000000e+00 6.333333333333333037e-01 4.385986400231869154e-06 1.593968357665167133e-05
7.000000000000000000e+00 6.333333333333333037e-01 3.591788757917539806e-06 1.117886020287792601e-05
8.000000000000000000e+00 6.333333333333333037e-01 2.629599444563902321e-06 2.113034969247426666e-05
9.000000000000000000e+00 6.333333333333333037e-01 1.989816584939597140e-06 2.471526551297514813e-05
1.000000000000000000e+01 6.333333333333333037e-01 5.110088125552194769e-06 2.827739157170910264e-05
1.000000000000000000e+00 7.222222222222222099e-01 4.151664672924844948e-06 8.073796045115781066e-05
2.000000000000000000e+00 7.222222222222222099e-01 4.353771895821807400e-06 6.314428874031913382e-05
3.000000000000000000e+00 7.222222222222222099e-01 4.880140644810714427e-06 4.552520884222439304e-05
4.000000000000000000e+00 7.222222222222222099e-01 3.639142546462284733e-06 4.143080317103860308e-05
5.000000000000000000e+00 7.222222222222222099e-01 2.095214131796367654e-06 3.392937785118415868e-05
6.000000000000000000e+00 7.222222222222222099e-01 2.030278563691084568e-06 2.504898320100420865e-05
7.000000000000000000e+00 7.222222222222222099e-01 2.741359198261816753e-06 1.443841493509221582e-05
8.000000000000000000e+00 7.222222222222222099e-01 2.918552140763264697e-06 1.245482394539216746e-05
9.000000000000000000e+00 7.222222222222222099e-01 3.025057210116990974e-06 1.071775040872088412e-05
1.000000000000000000e+01 7.222222222222222099e-01 5.074031545749430625e-06 1.783862835929116825e-05
1.000000000000000000e+00 8.111111111111111160e-01 5.923644120619940323e-06 8.747765578578048601e-05
2.000000000000000000e+00 8.111111111111111160e-01 5.723214129921771333e-06 4.386716398980143930e-05
3.000000000000000000e+00 8.111111111111111160e-01 6.538868205607795215e-06 3.458019164267091413e-05
4.000000000000000000e+00 8.111111111111111160e-01 4.092190984994089600e-06 2.270534149152422018e-05
5.000000000000000000e+00 8.111111111111111160e-01 3.619215330972695293e-06 3.197160956159123500e-05
6.000000000000000000e+00 8.111111111111111160e-01 4.180820557375890127e-06 2.680777362950239150e-05
7.000000000000000000e+00 8.111111111111111160e-01 3.888970148664909087e-06 1.519946721055439849e-05
8.000000000000000000e+00 8.111111111111111160e-01 2.572715586243244517e-06 1.953208410982526039e-05
9.000000000000000000e+00 8.111111111111111160e-01 1.726703719832324181e-06 2.421810400217964485e-05
1.000000000000000000e+01 8.111111111111111160e-01 4.735107672906532432e-06 3.204595740394594697e-05
1.000000000000000000e+00 9.000000000000000222e-01 6.223989609179426076e-06 1.706387797380233638e-04
2.000000000000000000e+00 9.000000000000000222e-01 4.869548004913931389e-06 1.222100347758710770e-04
3.000000000000000000e+00 9.000000000000000222e-01 4.298780901681157952e-06 8.259482367335628885e-05
4.000000000000000000e+00 9.000000000000000222e-01 3.421462407823085932e-06 4.046969129292327013e-05
5.000000000000000000e+00 9.000000000000000222e-01 3.762489654992501042e-06 3.017316526805204511e-05
6.000000000000000000e+00 9.000000000000000222e-01 3.640869505943647611e-06 2.142787339150209572e-05
7.000000000000000000e+00 9.000000000000000222e-01 2.929094161058736162e-06 2.177453473464745977e-05
8.000000000000000000e+00 9.000000000000000222e-01 2.592453162038016836e-06 2.922784591292178151e-05
9.000000000000000000e+00 9.000000000000000222e-01 3.933534591335467739e-06 2.238295533475622234e-05
1.000000000000000000e+01 9.000000000000000222e-01 6.509659295081858908e-06 2.548361674908298036e-05
