modes mean_relative_error_ctrace
2.000000000000000000e+00 2.563524838990749802e-02
4.000000000000000000e+00 1.086973437518676082e-02
6.000000000000000000e+00 4.988402946763705915e-03
8.000000000000000000e+00 2.529573319772850798e-03
1.000000000000000000e+01 1.693203786175506102e-03
1.200000000000000000e+01 1.395176124103784032e-03
1.500000000000000000e+01 1.104967812738145332e-03
2.000000000000000000e+01 9.923848350087329656e-04
2.500000000000000000e+01 9.549369145522598572e-04
