modes mean_relative_error_velocity mean_relative_error_ctrace
2.000000000000000000e+00 7.147232534149258569e-03 2.563524838990749802e-02
4.000000000000000000e+00 2.202180320438707015e-03 1.086973437518676082e-02
6.000000000000000000e+00 9.575848938374155808e-04 4.988402946763705915e-03
8.000000000000000000e+00 4.241271195052562226e-04 2.529573319772850798e-03
1.000000000000000000e+01 2.160155176969580132e-04 1.693203786175506102e-03
1.200000000000000000e+01 1.507780983908997422e-04 1.395176124103784032e-03
1.500000000000000000e+01 9.295777660138252406e-05 1.104967812738145332e-03
2.000000000000000000e+01 7.105716010265859600e-05 9.923848350087329656e-04
2.500000000000000000e+01 6.588045875341023191e-05 9.549369145522598572e-04
