param1 param2 velocity_relative_error second_field_relative_error
1.000000000000000000e+01 1.888888888888889117e-01 4.122952935577323119e-03 7.715348471448867096e-02
1.000000000000000000e+01 1.888888888888889117e-01 5.691640595850662628e-03 7.947462629851595461e-02
1.000000000000000000e+01 1.888888888888889117e-01 1.808476960198143746e-02 2.908405370642261345e-01
1.000000000000000000e+01 1.888888888888889117e-01 5.639574790575962830e-03 4.913142779456195625e-02
1.000000000000000000e+01 1.888888888888889117e-01 1.133520315320004322e-02 3.361594768669440986e-02
1.000000000000000000e+01 1.888888888888889117e-01 1.397692508027868590e-02 3.162838194075758003e-02
1.000000000000000000e+01 1.888888888888889117e-01 1.325800260192406925e-02 3.025423342360297405e-02
1.000000000000000000e+01 1.888888888888889117e-01 9.412003961925831039e-03 3.583212022833549143e-02
1.000000000000000000e+01 1.888888888888889117e-01 1.112653521853581608e-02 3.368192816866127925e-02
1.000000000000000000e+00 2.777777777777777901e-01 1.218741359798185091e-02 1.119693836790991714e-01
1.000000000000000000e+00 2.777777777777777901e-01 2.686009368518919860e-03 7.678581706425730014e-02
1.000000000000000000e+00 2.777777777777777901e-01 5.815457054441999958e-03 6.149399558580702363e-02
1.000000000000000000e+00 2.777777777777777901e-01 4.693840231943243596e-03 4.446730115811629164e-02
1.000000000000000000e+00 2.777777777777777901e-01 5.999482882860117904e-03 4.255966260978427673e-02
1.000000000000000000e+00 2.777777777777777901e-01 4.717345138313086203e-03 3.185512354535067342e-02
1.000000000000000000e+00 2.777777777777777901e-01 4.445712969642675282e-03 2.506488539139663588e-02
1.000000000000000000e+00 2.777777777777777901e-01 4.618191418280954801e-03 2.600240800654602877e-02
1.000000000000000000e+00 2.777777777777777901e-01 4.642983239865218666e-03 2.600906340781782358e-02
1.000000000000000000e+00 2.777777777777777901e-01 4.642991815546204312e-03 2.600924649721611526e-02
2.000000000000000000e+00 2.777777777777777901e-01 8.009941107637183477e-03 9.109057963216063425e-02
2.000000000000000000e+00 2.777777777777777901e-01 2.980938939493433821e-03 7.683307200284876515e-02
2.000000000000000000e+00 2.777777777777777901e-01 5.257008476598347239e-03 6.943070283693905664e-02
2.000000000000000000e+00 2.777777777777777901e-01 4.646267170497236920e-03 7.061597359815019459e-02
2.000000000000000000e+00 2.777777777777777901e-01 5.816956082269984958e-03 4.627353578214858654e-02
2.000000000000000000e+00 2.777777777777777901e-01 4.918343565704151425e-03 3.742249529289348037e-02
2.000000000000000000e+00 2.777777777777777901e-01 4.772006183075284610e-03 2.079970603834707665e-02
2.000000000000000000e+00 2.777777777777777901e-01 5.289534211751864556e-03 2.219228736561708326e-02
2.000000000000000000e+00 2.777777777777777901e-01 5.081759320241464352e-03 2.243375653218700888e-02
2.000000000000000000e+00 2.777777777777777901e-01 5.083090686541981429e-03 2.243493110874923702e-02
3.000000000000000000e+00 2.777777777777777901e-01 8.033074920336710778e-03 9.109060336476364206e-02
3.000000000000000000e+00 2.777777777777777901e-01 3.247824601752641056e-03 7.685139704493866575e-02
3.000000000000000000e+00 2.777777777777777901e-01 3.663672674331791123e-03 6.038850053359879483e-02
3.000000000000000000e+00 2.777777777777777901e-01 4.629698446992996236e-03 9.182123689132776212e-02
3.000000000000000000e+00 2.777777777777777901e-01 5.511219921873452068e-03 3.997538620364765594e-02
3.000000000000000000e+00 2.777777777777777901e-01 1.483754701723656068e-02 1.011454534953406120e-01
3.000000000000000000e+00 2.777777777777777901e-01 6.124795755844784050e-03 2.269290017552384048e-02
3.000000000000000000e+00 2.777777777777777901e-01 7.170415562103119554e-03 2.083418920142745753e-02
3.000000000000000000e+00 2.777777777777777901e-01 6.066441133986947946e-03 2.123749214339208310e-02
3.000000000000000000e+00 2.777777777777777901e-01 6.056526921729948020e-03 2.123683116887633768e-02
4.000000000000000000e+00 2.777777777777777901e-01 8.045337494074131929e-03 9.109054625812844364e-02
4.000000000000000000e+00 2.777777777777777901e-01 3.419708573116483127e-03 7.686060339411734943e-02
4.000000000000000000e+00 2.777777777777777901e-01 3.271193461725135487e-03 6.012773823591142236e-02
4.000000000000000000e+00 2.777777777777777901e-01 1.770732437455442218e-02 1.161147200741323438e-01
4.000000000000000000e+00 2.777777777777777901e-01 5.072924989096161234e-03 3.422989544283492475e-02
4.000000000000000000e+00 2.777777777777777901e-01 1.686505040056016438e-02 1.071490025316643030e-01
4.000000000000000000e+00 2.777777777777777901e-01 6.765556413697130199e-03 2.631970200494913870e-02
4.000000000000000000e+00 2.777777777777777901e-01 2.665515213934039826e-02 5.690237644651389287e-02
4.000000000000000000e+00 2.777777777777777901e-01 6.643530042810999459e-03 2.154304363957506782e-02
4.000000000000000000e+00 2.777777777777777901e-01 6.554207764644496420e-03 2.154237364558952289e-02
5.000000000000000000e+00 2.777777777777777901e-01 8.052933504701924317e-03 9.109051181424404620e-02
5.000000000000000000e+00 2.777777777777777901e-01 3.535722320148758455e-03 7.686648577446976438e-02
5.000000000000000000e+00 2.777777777777777901e-01 3.024610429048121742e-03 5.995428867991621502e-02
5.000000000000000000e+00 2.777777777777777901e-01 4.218055897295500123e-03 1.219191742435225545e-01
5.000000000000000000e+00 2.777777777777777901e-01 4.672703546539860517e-03 3.314053380173911934e-02
5.000000000000000000e+00 2.777777777777777901e-01 8.075483534798904434e-03 3.341307447307882705e-02
5.000000000000000000e+00 2.777777777777777901e-01 7.398144017693915504e-03 2.949337763248987415e-02
5.000000000000000000e+00 2.777777777777777901e-01 9.861401135012338656e-03 2.319802970001613382e-02
5.000000000000000000e+00 2.777777777777777901e-01 7.013767036402785045e-03 2.251176326829984822e-02
5.000000000000000000e+00 2.777777777777777901e-01 6.801149986393308436e-03 2.250274256468797959e-02
6.000000000000000000e+00 2.777777777777777901e-01 8.058101102842971791e-03 9.109047181963768336e-02
6.000000000000000000e+00 2.777777777777777901e-01 3.618545860051104908e-03 7.687038063849672975e-02
6.000000000000000000e+00 2.777777777777777901e-01 6.327264235457677639e-03 5.992869535147180710e-02
