modes mean_relative_error_velocity
2.000000000000000000e+00 7.147232534149258569e-03
4.000000000000000000e+00 2.202180320438707015e-03
6.000000000000000000e+00 9.575848938374155808e-04
8.000000000000000000e+00 4.241271195052562226e-04
1.000000000000000000e+01 2.160155176969580132e-04
1.200000000000000000e+01 1.507780983908997422e-04
1.500000000000000000e+01 9.295777660138252406e-05
2.000000000000000000e+01 7.105716010265859600e-05
2.500000000000000000e+01 6.588045875341023191e-05
